label	r_early	r_late	J	quad_b2	final_surp	kappa_w_med	n_steps 
baseline_decay_p1	0.976	0.606	-0.370	0.055	5.884	0.505	27 
arch_d2	0.886	0.367	-0.519	0.122	6.488	0.416	25 
arch_d4	0.903	0.549	-0.354	0.053	6.102	0.442	25 
batch_2e18	0.941	0.566	-0.375	0.042	5.875	0.501	25 
batch_2e20	0.953	0.631	-0.322	0.037	5.924	0.495	25 
betas_high	0.944	0.501	-0.443	0.049	5.835	0.507	25 
constlr	0.953	0.486	-0.467	0.072	6.009	0.498	25 
decaylow_0p1	0.955	0.707	-0.248	0.015	5.916	0.501	25 
decaylow_0p25	0.954	0.557	-0.397	0.048	5.939	0.502	25 
finallr_0p3	0.950	0.577	-0.373	0.045	5.951	0.501	25 
gf5_d4	0.571	0.781	0.210	-0.084	6.408	0.368	25 
gf5_lr0p5	0.767	0.331	-0.436	0.084	6.622	0.395	25 
gf5_lr2	0.699	0.256	-0.443	0.002	6.881	0.366	25 
gf_alpha90	0.861	0.457	-0.405	0.033	6.164	0.454	25 
gf_alpha99	0.883	0.572	-0.311	0.042	6.176	0.417	25 
gf_flat	0.949	0.835	-0.114	-0.017	5.984	0.451	25 
gf_flat_l10	0.651	0.427	-0.224	-0.001	6.657	0.351	25 
gf_flat_l20	0.435	0.712	0.276	-0.111	7.169	0.339	25 
gf_flat_l40	0.057	1.422	1.365	-0.415	6.866	0.296	25 
gf_flat_l5	0.826	0.605	-0.221	-0.012	6.178	0.423	25 
gf_flat_l8	0.686	0.268	-0.418	0.061	6.629	0.351	25 
gf_flat_nowd	0.895	0.491	-0.404	0.065	6.356	0.416	25 
gf_lamb1	0.982	0.457	-0.524	0.094	6.161	0.450	25 
gf_lamb10	0.645	0.656	0.011	-0.074	6.260	0.385	25 
gf_lamb15	0.543	0.523	-0.020	-0.047	6.744	0.339	25 
gf_lamb2	0.949	0.742	-0.207	0.013	6.078	0.446	25 
gf_lamb20	0.441	0.863	0.422	-0.157	6.704	0.347	25 
gf_lamb30	0.217	1.518	1.300	-0.406	6.552	0.356	25 
gf_lamb40	0.058	1.743	1.685	-0.514	6.397	0.327	25 
gf_lamb5	0.843	0.577	-0.266	0.002	6.258	0.416	25 
gf_lamb80	-0.243	1.930	2.172	-0.644	6.734	0.251	25 
gf_nowd	0.906	0.485	-0.421	0.076	6.354	0.415	25 
gf_nowd_l20	0.422	1.013	0.591	-0.202	6.895	0.363	25 
gf_rep2	0.986	0.465	-0.521	0.110	6.048	0.397	28 
gf_rep4	1.029	0.414	-0.616	0.145	6.146	0.380	30 
gf_rep4_l10	0.819	0.634	-0.186	0.012	6.136	0.342	30 
gf_rep8_l10	0.912	0.685	-0.227	0.034	6.027	0.338	33 
init_0p1	0.986	0.806	-0.180	-0.025	5.781	0.541	25 
init_0p3	1.040	0.849	-0.190	-0.012	5.753	0.536	25 
init_3	0.905	0.872	-0.033	-0.028	5.988	0.508	25 
lr_0p03	0.487	1.855	1.368	-0.465	6.352	0.358	25 
lr_0p05	0.629	1.916	1.287	-0.424	6.285	0.424	25 
lr_0p07	0.729	1.983	1.254	-0.404	5.989	0.475	25 
lr_0p1	0.772	1.879	1.107	-0.355	5.916	0.525	25 
lr_0p15	0.812	1.752	0.940	-0.297	5.816	0.545	25 
lr_0p1_init0p3	0.765	2.040	1.275	-0.415	5.759	0.549	25 
lr_0p25	0.846	1.309	0.463	-0.165	5.896	0.552	25 
lr_0p25_gf5	0.843	0.499	-0.343	0.081	6.807	0.425	25 
lr_0p25_init0p3	0.889	1.344	0.455	-0.183	5.686	0.579	25 
lr_0p35	0.862	1.138	0.276	-0.115	5.861	0.557	25 
lr_0p5	0.927	0.922	-0.005	-0.043	5.916	0.542	25 
lr_2	1.079	0.455	-0.624	0.092	5.808	0.496	25 
lr_4	1.497	0.915	-0.582	0.071	5.908	0.625	25 
matlr_0p01	0.944	0.430	-0.513	0.073	5.935	0.502	25 
matlr_0p08	0.954	0.619	-0.335	0.033	5.861	0.507	25 
rep2_constlr	1.102	0.311	-0.790	0.180	6.109	0.462	29 
rep2_decay	1.075	0.277	-0.798	0.182	6.020	0.439	28 
rep3_constlr	1.105	0.130	-0.975	0.200	6.039	0.432	29 
rep3_decay	1.148	0.136	-1.012	0.215	6.103	0.434	29 
rep4_constlr	1.108	0.023	-1.086	0.259	6.279	0.398	30 
rep4_decay	1.143	-0.060	-1.203	0.293	6.560	0.390	30 
rep6_constlr	1.235	-0.326	-1.561	0.374	6.738	0.333	32 
rep6_decay	1.236	0.034	-1.202	0.276	6.251	0.368	32 
rep8_constlr	1.279	-0.112	-1.392	0.315	6.522	0.335	33 
rep8_decay	1.280	-0.037	-1.317	0.290	6.427	0.357	33 
s1_rep1_constlr	1.054	0.573	-0.481	0.058	5.868	0.515	25 
s1_rep2_constlr	1.161	0.282	-0.879	0.203	6.046	0.457	28 
s1_rep3_constlr	1.245	0.141	-1.104	0.238	5.858	0.422	29 
s1_rep4_constlr	1.270	0.195	-1.074	0.246	6.002	0.406	30 
s1_rep6_constlr	1.317	0.098	-1.219	0.273	5.879	0.380	32 
s1_rep8_constlr	1.413	0.026	-1.386	0.306	5.992	0.366	33 
warmdown_0	0.954	0.650	-0.305	0.022	5.818	0.505	25 
warmdown_1	0.952	0.607	-0.345	0.032	5.873	0.505	25 
warmup_0p2	0.939	0.614	-0.325	0.028	5.852	0.510	25 
wd_mult0	0.935	0.640	-0.296	0.011	5.745	0.510	25 
wd_mult10	1.111	0.405	-0.705	0.119	5.934	0.503	25 
wd_mult3	1.063	0.462	-0.601	0.103	6.014	0.505	25 
window_full	0.941	0.562	-0.380	0.041	5.890	0.503	25 
wsd	0.955	0.669	-0.286	0.020	5.842	0.506	25 
