word,count,total_tokens
a,5498392,378750562
about,467263,378750562
above,61784,378750562
after,171965,378750562
all,491094,378750562
am,102605,378750562
and,7120191,378750562
animal,54320,378750562
another,92544,378750562
any,292309,378750562
are,1923506,378750562
arm,23193,378750562
around,158717,378750562
at,822349,378750562
away,70680,378750562
baby,28122,378750562
back,162883,378750562
bad,41715,378750562
ball,36573,378750562
bat,8884,378750562
bath,17879,378750562
be,1506216,378750562
beach,8236,378750562
beans,11127,378750562
bear,13291,378750562
because,210021,378750562
bed,32458,378750562
bee,10700,378750562
before,159135,378750562
behind,35467,378750562
belt,7134,378750562
better,120767,378750562
big,52152,378750562
bird,29562,378750562
bite,10915,378750562
black,51868,378750562
block,32917,378750562
blow,13136,378750562
blue,34816,378750562
boat,12764,378750562
book,58632,378750562
bottle,9444,378750562
bowl,10576,378750562
box,28785,378750562
bread,13367,378750562
break,49445,378750562
bring,35999,378750562
broken,13194,378750562
brown,23534,378750562
brush,16721,378750562
build,50159,378750562
bus,17328,378750562
but,568428,378750562
butter,23917,378750562
button,15891,378750562
buy,37141,378750562
by,943527,378750562
cake,8173,378750562
call,47706,378750562
camera,30713,378750562
can,1500918,378750562
car,140715,378750562
careful,13069,378750562
carry,21995,378750562
cat,75729,378750562
catch,15103,378750562
chair,7552,378750562
cheese,15880,378750562
chicken,20090,378750562
child,67738,378750562
chocolate,14266,378750562
clean,63204,378750562
clock,10900,378750562
close,42868,378750562
cloud,11346,378750562
coat,15916,378750562
coffee,15648,378750562
cold,44011,378750562
comb,28833,378750562
cook,28632,378750562
corn,12744,378750562
could,202111,378750562
country,39606,378750562
cover,35090,378750562
cow,8547,378750562
cry,11337,378750562
cup,16687,378750562
cut,52236,378750562
dark,36821,378750562
day,132798,378750562
deer,8857,378750562
did,86283,378750562
dish,19908,378750562
do,415646,378750562
doctor,23403,378750562
does,176939,378750562
dog,107886,378750562
doll,5328,378750562
door,20707,378750562
down,141628,378750562
draw,34376,378750562
dress,14972,378750562
drink,15991,378750562
drive,30304,378750562
drop,18497,378750562
dry,56602,378750562
each,188773,378750562
ear,36264,378750562
eat,53427,378750562
egg,19396,378750562
empty,8601,378750562
every,123581,378750562
eye,59649,378750562
face,38565,378750562
fall,38275,378750562
farm,20677,378750562
fast,40820,378750562
feed,37388,378750562
find,139599,378750562
fine,28690,378750562
finger,10165,378750562
finish,12332,378750562
first,236732,378750562
fish,71366,378750562
fit,36542,378750562
fix,18210,378750562
flower,17198,378750562
food,169780,378750562
foot,34562,378750562
for,2373389,378750562
friend,18897,378750562
full,66179,378750562
game,53819,378750562
garden,54998,378750562
gas,59577,378750562
gentle,9079,378750562
get,256513,378750562
give,78910,378750562
glass,27028,378750562
glasses,8179,378750562
go,127898,378750562
good,174517,378750562
grass,28397,378750562
green,52055,378750562
gum,7826,378750562
hair,32538,378750562
hand,94149,378750562
happy,19328,378750562
hard,78103,378750562
have,1018533,378750562
he,254889,378750562
head,79304,378750562
hear,20622,378750562
heavy,25708,378750562
help,251464,378750562
her,138587,378750562
here,91894,378750562
high,196172,378750562
him,53468,378750562
his,172229,378750562
hit,22120,378750562
hold,33835,378750562
home,131776,378750562
horse,24959,378750562
hot,49476,378750562
house,44983,378750562
how,346735,378750562
