step,epoch,word,n_occurrences,mean_nll
1,1.0000,a,80,8.707670
1,1.0000,about,80,8.870882
1,1.0000,above,80,8.943324
1,1.0000,after,80,8.952514
1,1.0000,all,80,8.805113
1,1.0000,am,80,8.446612
1,1.0000,and,80,8.731772
1,1.0000,animal,80,8.590117
1,1.0000,another,80,8.765260
1,1.0000,any,80,8.831224
1,1.0000,are,80,8.875159
1,1.0000,arm,80,8.893107
1,1.0000,around,80,8.977833
1,1.0000,at,80,8.946162
1,1.0000,away,80,8.928469
1,1.0000,baby,80,8.515317
1,1.0000,back,80,8.851551
1,1.0000,bad,80,8.734351
1,1.0000,ball,80,8.740838
1,1.0000,bat,80,9.098650
1,1.0000,bath,80,8.709843
1,1.0000,be,80,8.306736
1,1.0000,beach,80,9.083581
1,1.0000,beans,80,8.972978
1,1.0000,bear,80,8.790595
1,1.0000,because,80,8.690677
1,1.0000,bed,80,8.812504
1,1.0000,bee,80,9.016413
1,1.0000,before,80,9.020397
1,1.0000,behind,80,8.988420
1,1.0000,belt,80,9.100529
1,1.0000,better,80,8.634944
1,1.0000,big,80,8.659889
1,1.0000,bird,80,8.952031
1,1.0000,bite,80,9.061704
1,1.0000,black,80,8.798018
1,1.0000,block,80,8.969753
1,1.0000,blow,80,9.077160
1,1.0000,blue,80,8.823984
1,1.0000,boat,80,9.248129
1,1.0000,book,80,8.680689
1,1.0000,bottle,80,9.135501
1,1.0000,bowl,80,8.965404
1,1.0000,box,80,8.975283
1,1.0000,bread,80,9.000362
1,1.0000,break,80,8.764237
1,1.0000,bring,80,8.500672
1,1.0000,broken,80,8.854959
1,1.0000,brown,80,8.934728
1,1.0000,brush,80,9.005403
1,1.0000,build,80,8.602418
1,1.0000,bus,80,9.049961
1,1.0000,but,80,7.936076
1,1.0000,butter,80,9.041528
1,1.0000,button,80,8.861179
1,1.0000,buy,80,8.365585
1,1.0000,by,80,8.920669
1,1.0000,cake,80,9.142411
1,1.0000,call,80,8.885484
1,1.0000,camera,80,8.654897
1,1.0000,can,80,8.752745
1,1.0000,car,80,8.550918
1,1.0000,careful,80,8.692246
1,1.0000,carry,80,8.545306
1,1.0000,cat,80,8.803924
1,1.0000,catch,80,8.677199
1,1.0000,chair,80,9.220019
1,1.0000,cheese,80,9.118351
1,1.0000,chicken,80,8.973930
1,1.0000,child,80,8.363784
1,1.0000,chocolate,80,9.037502
1,1.0000,clean,80,8.810407
1,1.0000,clock,80,8.829886
1,1.0000,close,80,8.917778
1,1.0000,cloud,80,8.993407
1,1.0000,coat,80,8.965776
1,1.0000,coffee,80,8.890482
1,1.0000,cold,80,8.800176
1,1.0000,comb,80,8.980439
1,1.0000,cook,80,8.969199
1,1.0000,corn,80,8.975046
1,1.0000,could,80,8.853579
1,1.0000,country,80,8.315305
1,1.0000,cover,80,8.639413
1,1.0000,cow,80,9.182522
1,1.0000,cry,80,9.065603
1,1.0000,cup,80,8.802204
1,1.0000,cut,80,8.844599
1,1.0000,dark,80,8.743828
1,1.0000,day,80,8.667964
1,1.0000,deer,80,9.083653
1,1.0000,did,80,8.924467
1,1.0000,dish,80,8.900576
1,1.0000,do,80,8.626813
1,1.0000,doctor,80,8.694592
1,1.0000,does,80,8.705712
1,1.0000,dog,80,8.479765
1,1.0000,doll,80,9.029953
1,1.0000,door,80,8.694376
1,1.0000,down,80,8.876471
1,1.0000,draw,80,9.008979
1,1.0000,dress,80,9.011602
1,1.0000,drink,80,8.921160
1,1.0000,drive,80,8.840342
1,1.0000,drop,80,8.980472
1,1.0000,dry,80,8.796435
1,1.0000,each,80,8.716377
1,1.0000,ear,80,8.851251
1,1.0000,eat,80,8.544224
1,1.0000,egg,80,8.763742
1,1.0000,empty,80,8.862715
1,1.0000,every,80,8.660685
1,1.0000,eye,80,8.933240
1,1.0000,face,80,8.857940
1,1.0000,fall,80,8.954370
1,1.0000,farm,80,8.860265
1,1.0000,fast,80,8.876552
1,1.0000,feed,80,8.919519
1,1.0000,find,80,8.449671
1,1.0000,fine,80,8.854018
1,1.0000,finger,80,8.911170
1,1.0000,finish,80,8.948965
1,1.0000,first,80,8.232579
1,1.0000,fish,80,8.764749
1,1.0000,fit,80,8.837019
1,1.0000,fix,80,8.878314
1,1.0000,flower,80,8.935755
1,1.0000,food,80,8.796264
1,1.0000,foot,80,8.950752
1,1.0000,for,80,8.879217
1,1.0000,friend,80,8.776627
1,1.0000,full,80,8.606683
1,1.0000,game,80,8.541977
1,1.0000,garden,80,8.734596
1,1.0000,gas,80,9.050602
1,1.0000,gentle,80,8.962105
1,1.0000,get,80,8.431212
1,1.0000,give,80,8.476784
1,1.0000,glass,80,8.937245
1,1.0000,glasses,80,9.048584
1,1.0000,go,80,8.669576
1,1.0000,good,80,8.303447
