word,sc,rng,npts,drop,kappa
a,0.1082943401873877,6.074459548741893,27,6.269497,4.007596327278284
about,0.7737100522030189,10.858289308886595,27,5.969455,0.5609336453161654
above,0.28687131321060116,2.4258035703904754,27,3.080839,1.5128734732754092
after,0.9727256444571737,7.096407544436354,27,2.7527820000000007,0.4461689711513592
all,0.508810513615669,8.468265106684324,27,3.9049750000000003,0.8529697959972241
am,0.38350007407520476,7.458171456901977,27,2.772317,1.1316816588538445
and,0.33843223247827414,11.232436500960269,27,6.788259999999999,1.2823837635732904
animal,0.08430727024230635,1.9482797335384658,27,3.017748,5.147835990332111
another,0.21148452262393383,2.4797395068812937,27,3.8275799999999993,2.0521596314248858
any,1.4225395453756584,11.403563764391695,27,5.141939000000001,0.3050881793837169
are,0.3670500028780876,11.43092094007494,27,6.91228,1.1824002086826009
arm,0.15902010709943495,2.281385446798799,27,3.7061839999999995,2.7292146126440517
around,2.5167154597310115,11.702408273060525,27,3.7838860000000007,0.17244698772835695
at,0.28383579984399754,8.854915902654827,27,4.344449999999999,1.529053066028091
away,0.6086662326731794,4.607485621267152,27,3.9850149999999998,0.713034462407962
baby,0.062015469973616955,1.9866451722308591,27,3.275691000000001,6.9982538257733955
back,0.7791339833123333,4.467972093793041,27,3.9688380000000008,0.5570287130269113
bad,0.22285371512487961,1.7097017284668663,27,2.4723249999999988,1.9474658511158371
ball,0.09620730192543371,2.982998428295283,27,4.035888999999999,4.511092103345496
bat,0.0065524130553160365,1.2695654666771858,27,3.206396,66.23514060181105
bath,0.12297123814449878,2.4672311099885,27,4.085471999999999,3.5292805581905524
be,0.13890395979935102,6.291534953385552,27,6.508201000000001,3.1244609630058053
beach,0.001,1.8450000833333329,27,3.8504770000000006,434
beans,0.2400173133205972,4.189826742353851,27,5.283375,1.808202891681798
bear,0.17966870594361767,3.560576785097063,27,5.428232,2.4155569982019838
because,1.4740199644533762,8.89078743570597,27,3.314140000000001,0.2944329184584308
bed,0.11626114984119874,3.4114093382682587,27,5.207809,3.732975293920636
bee,0.12990238610347707,4.4547457678801194,27,5.740308000000001,3.3409701932209788
before,1.9755673542252428,9.696899363494879,27,3.5853860000000006,0.21968372734636604
behind,0.6337447348812659,4.5913780934467745,27,4.058465,0.6848183126622918
belt,0.10364868236503642,3.411175831882444,27,4.667941,4.18722158446271
better,0.585859799606191,3.6920955992285363,27,3.964736000000001,0.7407915687195646
big,0.6602784594323232,3.2960399738985995,27,1.9639280000000001,0.6572984379546972
bird,0.2158588674579875,2.4536459347323714,27,3.9088290000000008,2.010572950330471
bite,0.23127219720100892,4.627331438277484,27,6.069442,1.8765766281140632
black,0.14813708742463355,2.110631394811625,27,3.025563,2.929718732459908
block,0.1444205302439173,2.5828691597176627,27,4.072758,3.005112910657515
blow,0.001,1.5528916500000012,27,3.2900080000000003,434
blue,0.029490504218466055,1.6836548271645508,27,2.8147389999999994,14.716601546888521
boat,0.004864802863702306,1.3586009231477618,27,3.0999660000000002,89.21224809296977
book,0.09462282427592546,1.5397235523356825,27,3.401127999999999,4.586631220543911
bottle,0.2471201756173514,2.9384414427082817,27,4.466894,1.7562305421473121
bowl,0.21925498732086515,3.6029936704854144,27,4.972745000000001,1.9794304581307869
box,0.21139669824123752,1.624393817077542,27,2.751854999999999,2.053012197497694
bread,0.1889505730599822,2.8628600362499004,27,4.354823,2.2968969766618654
break,0.11654012884223681,1.2570548296628274,27,2.1107380000000004,3.7240391297963664
bring,0.16077416393231397,1.1374808188092196,27,2.5234169999999994,2.699438699508425
broken,0.2715210327697283,1.2914710759644858,27,1.9528250000000007,1.5984028772020287
brown,0.11339389578135049,2.728778214197849,27,4.053369999999999,3.827366517478611
brush,0.19490214095278066,4.086580145568311,27,5.548843999999999,2.2267585049522163
build,0.12223086381476095,1.1031677183372466,27,2.0702240000000005,3.5506580453994054
bus,0.35988701557132846,1.874356985680202,27,2.994197999999999,1.2059340326880523
but,0.8674043455832052,9.931591165050886,27,4.864655,0.5003433545265411
butter,0.15127061907379252,3.288023952841664,27,4.365449,2.869030368602425
button,0.15809789014109335,4.377899928533524,27,5.4704950000000006,2.745134673288048
buy,0.19296437905720742,2.071163037325406,27,2.9096209999999996,2.249119770811864
by,0.14229352295128397,5.670070037882377,27,5.824645,3.0500334168308245
cake,0.271804026131101,4.456936769069032,27,6.258737,1.5967386729976765
call,0.26044753905941087,1.2851936772925185,27,2.018128000000001,1.6663624527509933
camera,0.08589195998024295,3.0781077359482936,27,4.327721,5.052859430612942
can,0.4026376358647418,10.578563855457098,27,6.043893000000001,1.0778922816489855
car,0.15482621219111029,2.7935966773340697,27,4.818041999999999,2.8031429165514337
careful,0.4044847260797295,3.8307457335820967,27,4.6371910000000005,1.0729700579953485
carry,0.12861394990455055,1.1847955978809965,27,1.9568119999999993,3.3744395559120015
cat,0.4979239473037112,2.577771435208133,27,3.071357,0.8716190541751139
catch,0.23436473070171596,1.1445141873966724,27,2.4844799999999996,1.8518144718300924
chair,0.190156764344385,5.203427826615757,27,6.693123,2.282327433874509
cheese,0.2921039312472528,5.2698054667769165,27,6.316231,1.4857725404340367
chicken,0.2288897121803851,3.0724246049507657,27,4.274944,1.896109684728731
child,1.1393713787103092,9.820377319816581,27,4.664218000000001,0.38091179760128646
chocolate,0.21009934359387805,3.5150280367371796,27,5.100907000000001,2.0656894618334545
clean,0.36495082953137176,2.8691029710985454,27,3.508298,1.1892012974934
clock,0.020033924645778082,1.950102568541765,27,3.4376160000000002,21.66325408893162
close,0.6384164153916113,2.4258227661516827,27,2.206722,0.6798070812978388
cloud,0.15779562733673796,1.6061701979132366,27,3.8769350000000005,2.7503930706130295
coat,0.22215602414006883,4.086552575479715,27,5.669602,1.953581955204438
coffee,0.12144631921022263,2.791855010043893,27,4.901092,3.573595336790318
cold,0.1664448224043587,2.809461410412018,27,3.9754389999999997,2.607470714502891
comb,0.16741414867695467,1.075637057745551,27,1.7883030000000009,2.5923734847372675
cook,0.08329049507300894,2.613794438299294,27,3.9167760000000005,5.210678596874396
corn,0.11572301188630471,3.1469131221269,27,4.420842,3.7503344661163447
could,0.9358925104543357,9.117620062411127,27,4.2552829999999995,0.46372846790846906
country,0.03417221881364726,1.4391370477386474,27,2.675427,12.700375189763056
cover,0.5454627295944,2.6642564359112875,27,2.524883000000001,0.795654728459115
cow,0.3991791010693569,2.2781087845351333,27,3.773009,1.0872312674620535
cry,0.08686927146708938,2.787916927814792,27,4.656798000000001,4.996012890063454
cup,0.17564895673370434,3.598632092963066,27,4.716266,2.4708373341378467
cut,0.428211868066042,1.394680204628549,27,2.266526999999999,1.0135169815822698
dark,0.07440363617312014,1.064582974739742,27,2.1725699999999994,5.833048253047497
day,0.8137561309825544,9.384133934511723,27,4.324471999999999,0.5333293151057122
deer,0.10021787507975893,2.5239810349675436,27,5.015414999999999,4.330564778534755
did,1.0065900582327945,6.240902019601149,27,3.8743799999999995,0.4311586394583967
dish,0.20603076220411143,2.999279468408173,27,4.34645,2.1064815533228143
do,0.41648722703464675,9.396233807681355,27,4.7612000000000005,1.042048763632063
doctor,0.4716326994232739,4.355540370909746,27,4.82718,0.9202076118358794
does,0.8527348309158088,10.089338299133768,27,4.946291,0.5089507127718689
dog,0.7533299156192017,9.180063790621812,27,4.2856570000000005,0.5761088083741802
doll,0.11740240251120534,2.8308877878862306,27,4.261729,3.6966875525275333
door,0.21319003800147096,2.9203622035723873,27,3.967855,2.0357424017955545
down,1.0105863267405562,10.185957568796558,27,4.864642000000001,0.429453663201421
draw,0.3144190447510876,2.9818316629850834,27,3.8650910000000005,1.380323511712147
dress,0.18213034860064456,2.5055928346484313,27,3.9927800000000007,2.382908742746809
drink,0.25086825265142,2.3163662865446426,27,3.3580300000000003,1.729991720407287
drive,0.14831855159653,1.9684427574829382,27,3.1405470000000006,2.926134292226689
drop,0.11842178030521179,1.4414399027006937,27,2.5860760000000003,3.6648663690196144
dry,0.21396268868705107,2.521390260643236,27,3.471304,2.0283910370690044
each,2.9328162697495417,12.075260536640556,27,4.023256,0.14798063024829816
ear,0.31726781256553466,3.4321562125153013,27,4.281121000000001,1.3679294993416744
eat,0.30194039315711846,3.0004721006369923,27,4.324876,1.4373697916401753
egg,0.14041034057164492,3.977906566042951,27,5.65838,3.090940440946725
empty,0.1676007926820079,1.7376990179276675,27,3.290666999999999,2.589486559430756
every,2.4385174466116095,9.468304078808135,27,2.800941000000001,0.17797699196413605
eye,0.06564427008160426,1.9925957945577313,27,3.5316029999999996,6.611391968567588
face,0.09632011708312047,1.2307698594509722,27,1.8556939999999988,4.505808476389985
fall,0.11815836917217928,1.692522042217182,27,2.310156000000001,3.673036476727088
farm,0.16219994989516354,2.341756150706278,27,3.2937199999999995,2.6757098277805387
fast,0.2036987262184601,1.658854094115469,27,2.5505619999999993,2.130597515541405
feed,0.24234370330526864,2.6796919189009962,27,3.560429,1.7908449614360773
find,0.5519324906229612,8.751360352662635,27,4.222079000000001,0.7863280516610792
fine,0.465770965616102,2.523506040729054,27,2.4418950000000006,0.9317884368896273
finger,0.0381890329443874,2.0599921536359194,27,4.423625,11.364519249073693
finish,0.2660641498370799,2.5786591010276965,27,3.6348970000000005,1.6311855628266827
first,0.7604102771024108,8.391089665755914,27,3.593812,0.5707445218307453
fish,0.2356506312562704,3.154651689323744,27,3.918716,1.841709473411189
fit,0.6541526315697888,2.135051094516596,27,2.133203,0.6634537247958749
fix,0.1248099818291871,1.5503663180131726,27,3.0945080000000003,3.4772859801707634
flower,0.2221557769213705,2.7021681358640146,27,3.813567,1.9535841291834122
food,0.3910031824811765,3.5622579842039244,27,4.535443000000001,1.1099653901688982
foot,0.23515895289993155,1.8798040598097785,27,2.651110000000001,1.8455601823702725
for,0.13885530875768076,5.825112937759423,27,6.174451000000001,3.1255556873045616
friend,0.38909834029207196,3.5262782660770604,27,4.067323,1.1153992578694196
full,0.001,1.0653404628351577,27,1.6281870000000005,434
game,0.09085657700282951,1.5935314588907241,27,3.1960370000000005,4.776759309196561
garden,0.2860384006640798,2.3248906238832365,27,3.3913349999999998,1.5172787954079094
gas,0.1625870493975508,5.1847998148795105,27,6.331834000000001,2.669339296137923
gentle,0.28903864083177805,1.8561036575310315,27,3.3142809999999994,1.5015293413747755
get,0.3266905160091496,8.783110144799688,27,4.1087940000000005,1.328474439055479
give,1.9679861368886926,9.77029892992422,27,3.793845,0.22053000875612702
glass,0.28637839576874746,2.9218947414426824,27,4.007424,1.5154774466662562
glasses,0.12585881566611493,3.926601087931525,27,5.273910000000001,3.448308310411395
go,1.87681245638119,9.859738823355672,27,3.728317999999999,0.23124313701371363
good,0.7268101084752241,8.5395719984435,27,3.9680600000000004,0.5971298347934224
grass,0.11250380240910249,2.093350772151097,27,3.5022790000000006,3.857647392412808
green,0.12670540578345263,1.7759130411602904,27,2.865544,3.425268222113055
gum,0.1763232228479715,4.732197198040365,27,6.294979,2.4613887665506273
hair,0.5402149814815892,3.363364705792937,27,3.7471129999999997,0.803383865456147
hand,0.6884172743768586,4.007247057995836,27,3.7650620000000004,0.6304315945483036
happy,0.21680754665375748,2.695256383177542,27,3.3493890000000004,2.0017753380748307
hard,0.6520924298000815,6.54630907912739,27,2.4402360000000005,0.6655498211090346
have,0.45272679681241934,10.269030486982558,27,5.693778,0.9586355458871181
he,1.1127692658210802,9.369809486013324,27,4.096703,0.3900179608930554
head,0.17531219986205196,3.004552423675171,27,4.078362000000001,2.4755835608788317
hear,0.02000177788999659,2.059464758946416,27,3.334802,21.698071160816895
heavy,0.21553446507710866,1.295679657610889,27,2.502326000000001,2.0135990772739483
help,0.4797252529101302,9.867853229507295,27,5.195126000000001,0.904684498819377
her,0.2380631080685489,3.3869679123005776,27,4.7727390000000005,1.82304601297162
here,0.21367872936388133,1.5353842129553614,27,2.531269,2.031086581673394
high,0.8491147077351202,8.194283053436354,27,3.3009260000000005,0.5111205777575407
him,0.3767058245300947,2.831930380578907,27,3.5840819999999995,1.1520926190652199
his,0.30079247410016274,3.2246646152236904,27,4.7812,1.4428552486172896
hit,0.01873055662384485,1.6999261269109267,27,3.3914739999999997,23.170694214580802
hold,2.825855716890493,7.605209784514008,27,1.8936449999999994,0.15358179733166408
home,1.5918866699241636,9.89815283312835,27,3.862392,0.27263247327818596
horse,0.06527176173267274,1.425075136515951,27,2.6165399999999996,6.649123426107172
hot,0.18321029178702175,1.9208197477933773,27,3.0124770000000005,2.3688625555190765
house,0.0041643315498798615,1.0517683846182422,27,2.321453000000001,104.21840691635627
how,1.0194148794044786,11.44109166093616,27,5.809986,0.4257344176235037
hurt,0.21038834035383525,2.036502997876303,27,3.5882500000000004,2.062851958763923
i,0.1267650622176668,1.4152339864271601,27,2.6364290000000006,3.4236562693810986
ice,0.38111208046280753,2.5426724334936184,27,3.220842,1.1387726137491299
if,0.6851916681178066,9.352259598802899,27,4.6371579999999994,0.6333994124478778
inside,0.23776484608178564,1.6613705214423176,27,2.398027,1.825332916753867
into,0.8500673265557189,11.137556400167796,27,6.162041,0.5105477959710204
is,0.13623817182655448,6.4259772017942005,27,6.623255,3.1855976499194925
it,0.31105596834067584,10.292737831691571,27,5.659472000000001,1.3952473000764702
juice,0.187520835379495,5.486421882036933,27,6.882873,2.3144094848004126
jump,0.1720805981380129,1.9145520859166574,27,2.7957029999999996,2.522073985655961
kitchen,0.2470848383768306,2.488009055694852,27,3.604801000000001,1.7564817123181955
knife,0.1656801826170576,3.305758993860624,27,5.0998980000000005,2.619504597017009
last,0.278074720609812,1.6131162847882328,27,2.1976150000000008,1.560731586993047
later,0.3750062041805492,2.2979592622331673,27,2.8324479999999994,1.1573141861702316
lawn,0.05892848110827838,2.661360993185454,27,5.132188,7.364859773028002
leg,0.001,0.4290341166666636,27,1.7141140000000012,434
light,0.19746109059548125,2.9833284177379893,27,4.683477999999999,2.1979013621933867
like,0.6193481150523583,9.770045433920544,27,4.843586000000001,0.7007367737985456
listen,0.09551524299782285,1.8695728658831063,27,3.4300729999999993,4.543777373941167
little,0.6492455032914367,7.634560181441891,27,2.9568060000000003,0.6684682416740341
living,0.14155056466614252,1.3210119623368053,27,2.405627,3.06604216679475
long,0.8841220455538261,8.717046348554103,27,3.790376,0.4908824547273182
look,0.7505422202733375,4.396154919414554,27,3.771026000000001,0.5782486158366187
loud,0.11325429573771531,3.4413774978761955,27,5.067830000000001,3.8320842240288795
love,0.37079432549513075,2.8829795767001167,27,3.4466020000000004,1.1704601989808479
make,0.7507781377533551,8.910156221513315,27,4.096312000000001,0.5780669124153123
man,0.013502509056625383,1.345790232146534,27,1.4775710000000002,32.142174330706766
me,0.2814233182685679,3.165157521349828,27,4.082468,1.5421607657465863
meat,0.2344286487915539,3.113707973472409,27,4.417666,1.8513095657770833
medicine,0.18123865276207196,3.133008466864527,27,4.322691,2.3946326756784617
milk,0.001,3.0711196309523814,27,4.166251999999999,434
mine,0.001,1.577041016483557,27,3.506304,434
money,0.2842047894195967,3.8065655693473577,27,4.558807999999999,1.5270678614752242
moon,0.00843722369770008,2.532901322579531,27,4.150056999999999,51.438721497725005
more,0.42573734968357485,9.51771950065717,27,4.874084000000001,1.0194078586775774
morning,0.18314158763795094,3.0365939584839614,27,3.949039,2.3697512159715806
