"tag","sched","lr","seed","budget","arm","val_bpb","zorro","blimp","J"
"std_s1_1x","decay",1e-04,1,"1x","decay_1e-04",2.0662,0.68232,0.56706,0.432
"std_s42_1x","decay",1e-04,42,"1x","decay_1e-04",2.0615,0.7058,0.58448,0.414
"flat1e5_s1_1x","flat",1e-05,1,"1x","flat_1e-05",2.01903,0.69594,0.58597,1.598
"flat1e5_s42_1x","flat",1e-05,42,"1x","flat_1e-05",2.01556,0.68348,0.59134,1.604
"flat3e5_s1_1x","flat",3e-05,1,"1x","flat_3e-05",2.03363,0.72319,0.58338,1.027
"flat3e5_s42_1x","flat",3e-05,42,"1x","flat_3e-05",2.02642,0.67797,0.56995,1.018
"flat1e4_s1_1x","flat",1e-04,1,"1x","flat_1e-04",2.23202,0.68841,0.57403,0.333
"flat1e4_s42_1x","flat",1e-04,42,"1x","flat_1e-04",2.21713,0.66029,0.57821,0.307
"std_s1_4x","decay",1e-04,1,"4x","decay_1e-04",2.66955,0.68319,0.58249,-0.596
"std_s42_4x","decay",1e-04,42,"4x","decay_1e-04",2.67684,0.69507,0.56955,-0.608
"flat1e5_s1_4x","flat",1e-05,1,"4x","flat_1e-05",2.11406,0.69014,0.57274,1.279
"flat1e5_s42_4x","flat",1e-05,42,"4x","flat_1e-05",2.09878,0.68783,0.58786,1.291
