"key","tag","win_drop","floor","val_bpb","J","sched","lr","seed","budget","armlab"
"flat1e5_s1_1x","cont_flat1e5_s1",4.04031416666667,16.4719879166667,2.01903,1.598,"flat",1e-05,1,"1x","flat 1e-5"
"flat1e5_s42_1x","cont_flat1e5_s42",3.96806458333333,16.51772375,2.01556,1.604,"flat",1e-05,42,"1x","flat 1e-5"
"flat3e5_s1_1x","cont_flat3e5_s1",4.18949125,16.0811833333333,2.03363,1.027,"flat",3e-05,1,"1x","flat 3e-5"
"flat3e5_s42_1x","cont_flat3e5_s42",3.91951375,16.5512591666667,2.02642,1.018,"flat",3e-05,42,"1x","flat 3e-5"
"flat1e4_s1_1x","cont_flat1e4_s1",3.77604833333333,19.25607125,2.23202,0.333,"flat",1e-04,1,"1x","flat 1e-4"
"flat1e4_s42_1x","cont_flat1e4_s42",3.5579875,19.55997375,2.21713,0.307,"flat",1e-04,42,"1x","flat 1e-4"
"std_s1_1x","cont_std_s1",3.44446208333333,17.2544341666667,2.0662,0.432,"decay",1e-04,1,"1x","decay 1e-4"
"std_s42_1x","cont_std_s42",3.54137208333333,17.8049754166667,2.0615,0.414,"decay",1e-04,42,"1x","decay 1e-4"
"flat1e5_s1_4x","cont_flat1e5_s1_4x",5.86290916666667,14.2476045833333,2.11406,1.279,"flat",1e-05,1,"4x","flat 1e-5"
"flat1e5_s42_4x","cont_flat1e5_s42_4x",5.592015,14.5152070833333,2.09878,1.291,"flat",1e-05,42,"4x","flat 1e-5"
"std_s1_4x","cont_std_s1_4x",4.90559416666667,18.9630416666667,2.66955,-0.596,"decay",1e-04,1,"4x","decay 1e-4"
"std_s42_4x","cont_std_s42_4x",5.52420833333333,19.4947391666667,2.67684,-0.608,"decay",1e-04,42,"4x","decay 1e-4"
